	PC1	PC2
context_adherence	0.24885217595347495	-0.11315494576115662
completeness	0.1953308074906432	-0.18572871926262224
correctness	0.04075632682990732	-0.002911404101423305
answer_relevancy	0.19188535562149706	-0.1720038874592486
readability_LLM_eval_Trott	0.020755220662350506	0.20272298525397126
BLEU_Ex	0.11746475079007458	-0.18387041330678577
ROUGE_Ex	0.2827477473561438	-0.1884806980929349
BERTScore_Ex	0.3189420266981066	-0.13600660409322823
STS_Ex	0.2739765726271065	-0.1503337058110981
BLEU_DA1	0.19200596969325265	0.17664992950637953
ROUGE_DA1	0.2761524713939759	0.16923307635790877
BERTScore_DA1	0.30125561036129694	0.14232647397472015
STS_DA1	0.30755853282395657	0.030340551592204747
BLEU_DA2	0.18103130573190174	0.2547723400789463
ROUGE_DA2	0.2615790598812699	0.24851131957741043
BERTScore_DA2	0.2862897258195785	0.22361130539679325
STS_DA2	0.3022926270489753	0.10625418420808726
Readability	-0.05428786777243771	0.3835373300594762
ReadabilityGrade	-0.09725553796676306	0.3516677367938909
LexicalDiversity	0.02485873982638744	-0.3087471614239793
SentenceLength	0.0666270771344643	-0.3694617324443073
