Question	Document ID	Title	RAG+MultiRAIN_Flesh-Kincaid-Readability_BERT_MULTIRAIN_DETERMINISTIC
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one or by date range. You can also choose to have your calendar events older than 3 or 18 months deleted automatically. To delete your calendar events, visit the Calendar section in the Alexa app or on the Amazon website.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email address in the ""Your Account"" section of the website. However, an email address is required to create an Amazon account and to use Alexa. If you don't want to receive promotional emails, you can adjust your email preferences there as well.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To change your name, you need to update your account information. You can do this in the ""Your Account"" section of the website. Once you've made the change, it may take some time for Alexa to recognize the new name.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" You can edit your phone number in the ""Contact Information"" section of the ""Your Account"" page on Amazon's website. Once you've made the change, it may take up to 48 hours for the update to take effect.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to delete specific types of information for you, but you can manage your time zone settings in the Alexa app. To do this, go to Settings > Device Settings, select the device you want to change, and then select Time Zone.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not share your personal information, including your age, with others except as described in the privacy notice. This includes sharing with third parties for transactions involving their services, third party service providers, business transfers, and protection of Amazon Europe and others.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments without your consent. If you choose to use the calendar feature in Alexa, you can add, view, and delete appointments. These appointments are stored in the cloud and can be accessed by anyone who has access to your Alexa account. To manage access to your Alexa account, go to the Alexa app, select ""Settings,"" then ""Account Settings,"" and then ""Invited Users.""
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information only as described in their privacy notice. For transactions involving third parties, Amazon makes available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. In such cases, Amazon shares customers' personal information related to those transactions with that third party. Amazon also employs other companies and individuals to perform functions on their behalf. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes. They must process the personal information in accordance with Amazon's privacy notice and as permitted by applicable data protection laws.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties. For instance, when you order products from third-party sellers through Amazon's stores, your personal information is shared with those sellers to facilitate the transaction. Additionally, Amazon may share your personal information with third-party service providers who perform services on Amazon's behalf. These service providers are required to protect your personal information and are not permitted to use it for any other purpose.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in the Alexa app to order a ride, we will share your location with the ride service provider to help them pick you up. We also share location information with third parties if it is aggregated or de-identified, so that it cannot reasonably be used to identify you.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon Europe shares your personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, they will give you notice and an opportunity to choose not to share the information if it is to be shared with third parties for other purposes.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not permitted to use it for any other purpose.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" Your time zone is a piece of information that is associated with your account. Access to this information is controlled by Amazon's privacy policy and data protection practices. According to the sources provided, Amazon participates in the EU-US and Swiss-US Data Privacy Frameworks, which means that they have committed to adhering to certain privacy principles when handling personal information from European Union and European Economic Area member countries, the United Kingdom, and Switzerland. Amazon also states that they sometimes provide personal information to third parties to perform services on their behalf, but these third parties must also comply with Amazon's Data Privacy Framework obligations.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are accessible to Amazon and to the developers of Alexa skills that you use. You can review and delete your voice recordings in the Alexa app or on the Alexa Privacy Settings website. If you have enabled deletion by voice, you can also delete your voice recordings by asking Alexa to do so.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" According to the privacy policy, your personal information is kept for as long as it is required in order to fulfill the relevant purposes described in the policy, or as otherwise communicated to you. It doesn't specifically mention the name, but it does state that they retain your transaction history and addresses you have shipped orders to, which would include your name.
"
Why do you know my age?	privacy-Notice-8	Privacy Notice	" We do not collect or store your age as a standalone data point. However, we may infer age based on other information, such as your date of birth or the content you have purchased or interacted with.
"
Why do you know my calendar appointments?	privacy-Notice-8	Privacy Notice	" We do not access or store your calendar information unless it has been shared with us by you or by an authorized third party. You can control your calendar data that is synced to Alexa by managing your calendar settings in the Alexa app or on the service provider's website.
"
Why did you add all my contacts' phone numbers to my contact book?	privacy-Notice-3	Privacy Notice	" I apologize for any confusion. Amazon does not add your contacts' phone numbers to your contact book without your consent. However, if you have given Alexa permission to access your contacts, it can use that information to help you make calls or send messages using voice commands.
"
Why do you know my email address?	privacy-Notice-8	Privacy Notice	" We collect your email address as part of your Amazon account registration. It's used to communicate with you about your orders, shipping notifications, and other important information related to your Amazon account.
"
For what purpose is my name collected?	privacy-Notice-3	Privacy Notice	" Your name is used for several purposes. One of them is to create a voice ID for Alexa, which allows Alexa to recognize you and call you by name. Another purpose is to provide, troubleshoot, and improve Amazon Services. For instance, when you place an order, we use your name to identify you and process the order. We also use your name to communicate with you about orders, products, and services, and to personalize your experience with Amazon Services.
"
What do you need my phone number for?	privacy-Notice-8	Privacy Notice	" We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or if there's an issue with your account.
"
Do you need to know my time zone?	privacy-Notice-8	Privacy Notice	" Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with local weather updates, news, and promotions.
"
Why do you record my voice?	privacy-FAQ-1	Privacy FAQ	" We record your voice to provide and improve our services. For example, when you make a request to Alexa, such as ""Alexa, what's the weather?"", we use your voice recording to process your request and provide the appropriate response. We also use your voice recordings to help Alexa understand and respond to your requests more accurately over time.
"
Can the assistant pull information from my phone's calendar?	privacy-Notice-8	Privacy Notice	" Yes, you can allow Alexa to access your calendar on your phone to help manage your schedule. You can ask Alexa to add, modify, or delete calendar events. You can also ask Alexa to check your schedule for the day, find upcoming events, or set reminders based on your calendar.
"
Does the assistant have access to my contacts?	privacy-Notice-8	Privacy Notice	" By default, Alexa does not access your contacts without your permission. However, you can allow Alexa to access your contacts to make calls, send messages, or add events to your calendar. You can manage these settings in the Alexa app or on your device.
"
What's my address?	privacy-Notice-8	Privacy Notice	" To provide you with the services you request, Amazon needs to process and store certain information about you. This includes details such as your name, address, email address, and payment details. You can check your current address in the ""Your Account"" section of the Amazon website.
"
What is my name?	privacy-Notice-8	Privacy Notice	" I'm unable to access or provide your name directly. However, you can find and manage your personal information, including your name, in the ""Your Account"" section of the Amazon website.
"
Do you know my phone number?	privacy-Notice-8	Privacy Notice	" I don't have access to your personal information unless it has been shared with me in the course of providing Amazon Services or you have given me permission to access it. However, I can help you find where to access or change your phone number in your Amazon account settings.
"
How do you process my audio recordings?	privacy-FAQ-6	Privacy FAQ	" When you speak to Alexa, a recording of what you asked Alexa is sent to Amazon's cloud. There, Alexa processes your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits.
"
Does the assistant turn on my mic without my knowledge?	privacy-FAQ-4	Privacy FAQ	" No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or Alexa is activated by pressing a button. You can also turn off the microphone manually by pressing the microphone off button.
"
Is my calendar stored on the device?	privacy-FAQ-1	Privacy FAQ	" By default, your calendar events are not stored on your Echo device. They are synced with your Alexa account in the cloud, so you can access them from any Alexa-enabled device. However, you can choose to view your calendar on your Echo Show or Echo Spot device.
"
Do they keep my contacts' information?	privacy-Notice-11	Privacy Notice	" Yes, they might receive information about your contacts from other sources, such as updated delivery and address information from their carriers, which they use to correct their records and deliver your next purchase more easily. However, they do not share this information with third parties for marketing purposes without your consent.
"
How long will my location history be kept?	privacy-Notice-11	Privacy Notice	" We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we may keep your location history to enable location-based services, to improve the relevancy of products and content we recommend, or to provide you with location-specific information.
"
For how long would my name be stored in the database?	privacy-Notice-11	Privacy Notice	" We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your transaction history so that you can review past purchases and what addresses you have shipped orders to, and to improve the relevancy of products and content we recommend.
"
Is the information on my time zone stored?	privacy-Notice-8	Privacy Notice	" Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
"
Do you store my voice recordings locally or on a server?	privacy-FAQ-7	Privacy FAQ	" Alexa is designed to process audio locally on your device by default, and only sends recordings to the cloud when activated by your wake word. Text transcripts of your requests are also sent to the cloud so Alexa can respond to your requests. You can review and delete those transcripts in your Voice History. Alexa will still send audio to the cloud for features that require the transmission of audio, such as when you make a call or send a message or announcement via Alexa.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" Our privacy policy explains how we collect, use, and share your voice recordings. We collect voice recordings when you make a request to Alexa, such as ""Alexa, what's the weather?"" or ""Alexa, play music."" We use your voice recordings to provide and improve our services and develop new features. We also give you control over your voice recordings, including the ability to review, delete, and disable the collection and use of your voice recordings.
"
Why is all my contacts' personal information needed?	privacy-Notice-2	Privacy Notice	" We collect and use your personal information to provide, troubleshoot, and improve Amazon Services. This includes using your contacts to enable features like making calls and sending messages using Alexa. We do not use this information for advertising or to sell to third parties.
"
How can you guarantee my location information is secure?	privacy-Notice-6	Privacy Notice	" We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of personal customer information, including location data. We follow industry-standard security measures to protect against unauthorized access to our systems and to ensure the proper use of information we collect. We also limit access to personal information to those employees, agents, and contractors who need to know that information to perform their jobs.
"
Why do you know my location?	privacy-Notice-8	Privacy Notice	" We use your location to provide and improve our services. For example, we use your location to determine the delivery address for your orders, to provide location-based services, and to personalize your shopping experience. We may also use location information to help protect against fraud or to provide customer support.
"
