	Readability_Avg	bert_Avg
0	71.92	0.2794670909643173
1	72.56333333333333	0.4597386022408803
2	63.7375	0.37766391038894653
3	58.2	0.1988958120346069
4	55.57333333333333	0.34813377261161804
5	47.045	0.4032701998949051
6	43.715	0.2959481328725815
7	52.93666666666667	0.20813355843226114
8	53.04	0.23102705925703046
9	65.645	0.31591518223285675
10	70.01333333333332	0.1476466879248619
11	43.446666666666665	0.4756162067254384
12	35.72	0.47276192903518677
13	15.559999999999999	0.4298431724309921
14	35.95	0.6301616728305817
15	76.22	0.4228294789791107
16	77.79666666666667	0.41974543531735736
17	87.89	0.5402191132307053
18	60.989999999999995	0.35032860934734344
19	72.495	0.36150395870208735
20	58.025000000000006	0.5012142509222031
21	40.855000000000004	0.5254617631435394
22	57.775000000000006	0.4994109719991684
23	63.46666666666667	0.3430229723453522
24	79.51750000000001	0.6136712580919266
25	70.81333333333333	0.29147666692733765
26	73.83	0.6281329095363617
27	81.635	0.6467974185943604
28	93.64500000000001	0.3507998436689377
29	73.68	0.5050574988126755
30	67.36333333333333	0.3449595073858897
31	69.70666666666666	0.4440622230370839
32	46.1	0.36935853958129883
33	58.94	0.676387369632721
34	54.443333333333335	0.5920726458231608
35	64.9	0.5285076200962067
36	58.974999999999994	0.4686659723520279
37	67.81333333333333	0.3421539068222046
38	70.97	0.41644418239593506
39	87.045	0.4034116119146347
40	67.085	0.5324130952358246
41	64.715	0.3323757871985435
