Designed_Answer_1_Readability	Designed_Answer_1_bert	Designed_Answer_2_Readability	Designed_Answer_2_bert	Designed_Answer_Non_Proactive_1_Readability	Designed_Answer_Non_Proactive_1_bert	Designed_Answer_Non_Proactive_2_Readability	Designed_Answer_Non_Proactive_2_bert	Designed_Answer_Non_Proactive_3_Readability	Designed_Answer_Non_Proactive_3_bert
70.13	0.2721711993217468	63.19	0.31190580129623413	62.68	0.3140398859977722	77.06	0.26517874002456665	86.54	0.23403982818126678
73.88	0.46086394786834717	68.1	0.4163267910480499	75.71	0.5020250678062439				
52.53	0.407684326171875	66.23	0.3581938147544861	65.56	0.3969980478286743	70.63	0.34777945280075073		
49.15	0.2422172725200653	67.25	0.15557435154914856						
64.71	0.3170769512653351	41.36	0.37425684928894043	60.65	0.3530675172805786				
37.64	0.28927770256996155	56.45	0.5172626972198486						
31.89	0.23057833313941956	55.54	0.3613179326057434						
53.21	0.2085486650466919	53.71	0.21659788489341736	51.89	0.1992541253566742				
46.78	0.27262184023857117	59.3	0.1894322782754898						
61.16	0.3242255449295044	70.13	0.3076048195362091						
57.61	0.146979421377182	87.72	0.1754600703716278	64.71	0.12050057202577591				
45.25	0.49063125252723694	39.84	0.4572617709636688	45.25	0.47895559668540955				
33.54	0.4939940273761749	37.64	0.5154945850372314	35.98	0.40879717469215393				
9.38	0.4409993290901184	21.74	0.41868701577186584						
40.69	0.5693970918655396	31.21	0.6909262537956238						
67.76	0.4957091808319092	84.68	0.34994977712631226						
72.16	0.4064050316810608	88.06	0.37603309750556946	73.17	0.4767981767654419				
88.06	0.6913748979568481	87.72	0.3890633285045624						
72.16	0.3092159926891327	49.82	0.3914412260055542						
80.28	0.27532434463500977	64.71	0.44768357276916504						
60.31	0.4615538418292999	55.74	0.5408746600151062						
50.84	0.5236345529556274	30.87	0.5272889733314514						
60.31	0.4615538418292999	55.24	0.5372681021690369						
70.29	0.32234862446784973	68.77	0.356330543756485	51.34	0.3503897488117218				
85.39	0.5824667811393738	67.59	0.7044950723648071	71.65	0.5889827013015747	93.44	0.5787404775619507		
56.76	0.6502465605735779	87.92	0.0953177660703659	67.76	0.12886567413806915				
75.5	0.6308936476707458	72.16	0.6253721714019775						
82.65	0.6412646174430847	80.62	0.652330219745636						
91.11	0.309330016374588	96.18	0.39226967096328735						
75.71	0.4168446958065033	71.65	0.5932703018188477						
63.19	0.33804851770401	75.71	0.3687565326690674	63.19	0.3280734717845917				
75.71	0.3687565326690674	71.44	0.44053009152412415	61.97	0.5229000449180603				
52.02	0.2601970434188843	45.09	0.5804526805877686	41.19	0.26742589473724365				
56.93	0.687961220741272	60.95	0.6648135185241699						
54.22	0.6904823780059814	57.77	0.5421728491783142	51.34	0.5435627102851868				
63.39	0.5169018507003784	66.41	0.5401133894920349						
61.87	0.4182397425174713	56.08	0.5190922021865845						
69.11	0.3258799612522125	70.13	0.2979908287525177	64.2	0.40259093046188354				
64.71	0.48864495754241943	77.23	0.3442434072494507						
84.51	0.442992627620697	89.58	0.3638305962085724						
62.01	0.5175370573997498	72.16	0.5472891330718994						
70.13	0.4481716752052307	59.3	0.21657989919185638						
